WellID,PadID,StagesPlanned,StagesCompleted,PlugsInstalled,ContingencyPlugs,FracDays,CementEvalDays,MillingDays,FracDaysPerStage,MillingDaysPerPlug
#
# ════════════════════════════════════════════════════════════════════
#  NEW CAMPAIGN WELLS  —  FOR THE BAYESIAN UPDATE TAB
# ════════════════════════════════════════════════════════════════════
#  Use this file in the sidebar's "New campaign wells CSV" upload
#  (Bayesian update section). Same column format as
#  historical_wells_template.csv — these rows are NEW completed wells
#  from your most recent campaign, observed AFTER the historical prior
#  was set.
#
#  WHAT TO DO
#  1. DELETE the example rows at the bottom of this file.
#  2. ADD one row per newly completed well (5-15 wells is typical for
#     a single Bayesian update).
#  3. Compute FracDaysPerStage and MillingDaysPerPlug the same way as
#     for historical_wells.csv:
#       FracDaysPerStage   = FracDays / StagesCompleted
#       MillingDaysPerPlug = MillingDays / (PlugsInstalled + ContingencyPlugs)
#
#  The Bayesian Update tab combines these with historical_wells.csv to
#  produce posterior duration estimates, then reports whether duration
#  assumptions are Stable / Increasing / Decreasing, and how strong the
#  evidence is. Click "Apply to simulation" to merge these wells into
#  the bootstrap pool used by the Monte Carlo engine.
#
#  EXAMPLE DATA — replace with your actual new-campaign well data.
#  These examples show a mild increase in frac duration per stage
#  (more time per stage than the historical prior) so you can see the
#  "Increasing" status and evidence strength in the summary card.
#
NW-001,Pad_F,6,6,5,0,13.0,1.0,3.8,2.17,0.76
NW-002,Pad_F,6,6,5,0,13.4,0.9,3.9,2.23,0.78
NW-003,Pad_F,7,7,6,0,15.6,1.1,4.6,2.23,0.77
NW-004,Pad_G,7,6,5,1,14.2,1.2,4.2,2.37,0.70
NW-005,Pad_G,6,6,5,0,13.1,0.8,3.7,2.18,0.74
NW-006,Pad_G,8,8,7,0,17.8,1.3,5.3,2.23,0.76
NW-007,Pad_H,6,6,5,0,12.9,0.9,3.6,2.15,0.72
NW-008,Pad_H,7,7,6,0,15.3,1.0,4.4,2.19,0.73
